time[s],position_ego[m],position_pre[m],speed_ego[m/s],speed_pre[m/s],acceleration_ego[m/s2],headway[m],deltav[m/s],engine_throttle,engine_brake,Controller_throttle,Controller_brake
0.041545,"[5.0, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.007272727321833372,0.0,0.3636363660916686,,,0.0,-0.0,0.0,-0.0
0.072748,"[5.0, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.00421274034306407,0.0,-0.15299934893846512,8.0,-0.007272727321833372,0.0,-0.0,0.0,-0.0
0.092507,"[5.000145435333252, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.01148546766489749,0.0,0.36363636609167105,8.0,-0.00421274034306407,0.0,-0.0,0.0,-0.0
0.112088,"[5.000229835510254, 4.5, 0.0]","[13.000160217285156, 4.5, 0.0]",0.018758194521076965,0.0032087271101772785,0.3636363428089737,7.999854564666748,-0.01148546766489749,0.0,-0.0,0.0,-0.0
0.131649,"[5.000459671020508, 4.5, 0.0]","[13.000658988952637, 4.5, 0.0]",0.026030922308614007,0.013183554634451866,0.3636363893768521,7.999930381774902,-0.015549467410899687,0.0,-0.0,0.0,-0.0
0.15185,"[5.000834941864014, 4.5, 0.0]","[13.001157760620117, 4.5, 0.0]",0.03330364823346285,0.023162562400102615,0.3636362962424422,8.000199317932129,-0.012847367674162141,0.0,-0.0,0.0,-0.0
0.173044,"[5.0013556480407715, 4.5, 0.0]","[13.001659393310547, 4.5, 0.0]",0.04057636857036524,0.03318514674901962,0.36363601684511954,8.00032281875582,-0.010141085833360236,0.0,-0.0,0.0,-0.0
0.191276,"[5.002021789550781, 4.5, 0.0]","[13.002147674560547, 4.5, 0.0]",0.04148080945017343,0.04294950142502785,0.0452220439904092,8.000303745269704,-0.00739122182134562,0.0,-0.0,0.0,-0.0
0.212026,"[5.002833366394043, 4.5, 0.0]","[13.002984046936035, 4.5, 0.0]",0.048753529787064036,0.05322718247771263,0.36363601684453045,8.000125885009481,0.0014686919748544205,0.0,-0.0,0.0,-0.0
0.232899,"[5.003663063049316, 4.5, 0.0]","[13.004449844360352, 4.5, 0.0]",0.04148080945016562,0.06299646943807602,-0.36363601684492075,8.000150680541921,0.0044736526906485954,0.0,-0.0,0.0,-0.0
0.253352,"[5.004638195037842, 4.5, 0.0]","[13.005956649780273, 4.5, 0.0]",0.048753529787091424,0.07304534316062927,0.36363601684629016,8.000786781311035,0.0215156599879104,0.0,-0.0,0.0,-0.0
0.273915,"[5.005467891693115, 4.5, 0.0]","[13.007453918457031, 4.5, 0.0]",0.041480809450165114,0.08302705734968185,-0.36363601684631547,8.001318454742432,0.02429181337353785,0.0,-0.0,0.0,-0.0
0.29164,"[5.006443023681641, 4.5, 0.0]","[13.008943557739258, 4.5, 0.0]",0.03420808911324225,0.09295747429132462,-0.36363601684614305,8.001986026763277,0.04154624789951674,-0.0,0.0,-0.0,0.0
0.313212,"[5.007272720336914, 4.5, 0.0]","[13.010807037353516, 4.5, 0.0]",0.026935363188390564,0.10322877764701843,-0.3636362962425844,8.002500534057617,0.05874938517808236,-0.0,0.0,-0.0,0.0
0.334842,"[5.0079569816589355, 4.5, 0.0]","[13.013273239135742, 4.5, 0.0]",0.019662635400897674,0.11309298127889633,-0.3636363893746445,8.003534317015962,0.07629341445862786,-0.0,0.0,-0.0,0.0
0.352768,"[5.008495807647705, 4.5, 0.0]","[13.015769004821777, 4.5, 0.0]",0.01238990761340503,0.12307721376419067,-0.36363638937463216,8.005316257476736,0.09343034587799866,-0.0,0.0,-0.0,0.0
0.371874,"[5.008889198303223, 4.5, 0.0]","[13.018261909484863, 4.5, 0.0]",0.005117179825913687,0.13304951786994934,-0.36363638937456716,8.007273197174001,0.11068730615078565,-0.0,0.0,-0.0,0.0
0.392164,"[5.009137153625488, 4.5, 0.0]","[13.020767211914062, 4.5, 0.0]",0.0021555474960647564,0.14306950569152832,-0.14808161649244653,8.00937271118164,0.12793233804403564,-0.0,0.0,-0.0,0.0
0.412493,"[5.009239673614502, 4.5, 0.0]","[13.023580551147461, 4.5, 0.0]",0.00942827481778347,0.15308751165866852,0.3636363660859357,8.011630058288503,0.14091395819546357,-0.0,0.0,-0.0,0.0
0.432266,"[5.009196758270264, 4.5, 0.0]","[13.027068138122559, 4.5, 0.0]",0.016701001673937087,0.16305120289325714,0.3636363428076808,8.014340877532675,0.14365923684088505,-0.0,0.0,-0.0,0.0
0.452551,"[5.009008407592773, 4.5, 0.0]","[13.030564308166504, 4.5, 0.0]",0.02226289361716397,0.17304132878780365,0.2780945971613442,8.017871379852295,0.14635020121932005,-0.0,0.0,-0.0,0.0
0.473218,"[5.008674621582031, 4.5, 0.0]","[13.034074783325195, 4.5, 0.0]",0.014990165829664025,0.17640338838100433,-0.3636363893749973,8.02155590057373,0.15077843517063969,-0.0,0.0,-0.0,0.0
0.493121,"[5.0082292556762695, 4.5, 0.0]","[13.037569046020508, 4.5, 0.0]",0.019523797556758874,0.193055659532547,0.22668158635474248,8.025400161743164,0.1614132225513403,-0.0,0.0,-0.0,0.0
0.512917,"[5.00792932510376, 4.5, 0.0]","[13.04146671295166, 4.5, 0.0]",0.01225106976926386,0.19659370183944702,-0.3636363893747507,8.029339790344167,0.17353186197578813,-0.0,0.0,-0.0,0.0
0.532501,"[5.007538795471191, 4.5, 0.0]","[13.045869827270508, 4.5, 0.0]",0.013142740353967083,0.21304377913475037,0.04458352923516111,8.0335373878479,0.18434263207018317,-0.0,0.0,-0.0,0.0
0.552081,"[5.007293701171875, 4.5, 0.0]","[13.050385475158691, 4.5, 0.0]",0.0058700125664687885,0.21641126275062564,-0.3636363893749147,8.038331031799032,0.19990103878078327,-0.0,0.0,-0.0,0.0
0.572468,"[5.007030963897705, 4.5, 0.0]","[13.054861068725586, 4.5, 0.0]",0.013062203302979471,0.2330247163772583,0.3596095368255341,8.043091773986532,0.21054125018415684,-0.0,0.0,-0.0,0.0
0.592185,"[5.006913661956787, 4.5, 0.0]","[13.059367179870605, 4.5, 0.0]",0.005789475515491942,0.236372172832489,-0.3636363893743764,8.04783010482788,0.21996251307427883,-0.0,0.0,-0.0,0.0
0.613368,"[5.006652355194092, 4.5, 0.0]","[13.064253807067871, 4.5, 0.0]",0.0027528984938136407,0.25318795442581177,-0.15182885108391506,8.052453517913818,0.23058269731699707,-0.0,0.0,-0.0,0.0
0.632615,"[5.006536483764648, 4.5, 0.0]","[13.06967544555664, 4.5, 0.0]",0.004494024440667869,0.2563796043395996,0.08705629734271139,8.05760145187378,0.2504350559319981,-0.0,0.0,-0.0,0.0
0.652076,"[5.006481647491455, 4.5, 0.0]","[13.07518482208252, 4.5, 0.0]",0.002778702881224909,0.273063600063324,-0.08576607797214797,8.063138961791921,0.25188557989893173,-0.0,0.0,-0.0,0.0
0.672129,"[5.006392002105713, 4.5, 0.0]","[13.080656051635742, 4.5, 0.0]",0.00449402444064949,0.27967849373817444,0.08576607797122905,8.06870317459042,0.2702848971820991,-0.0,0.0,-0.0,0.0
0.692496,"[5.006447792053223, 4.5, 0.0]","[13.086150169372559, 4.5, 0.0]",0.002778702881278649,0.2896670401096344,-0.08576607796854205,8.07426404952824,0.27518446929752494,-0.0,0.0,-0.0,0.0
0.714353,"[5.0063581466674805, 4.5, 0.0]","[13.09197998046875, 4.5, 0.0]",0.0037542695645549993,0.2997127175331116,0.04877833416381751,8.079702377319265,0.28688833722835577,-0.0,0.0,-0.0,0.0
0.73541,"[5.00641393661499, 4.5, 0.0]","[13.0985107421875, 4.5, 0.0]",0.003518457757369615,0.30976083874702454,-0.011790590359269217,8.085621833800625,0.2959584479685566,-0.0,0.0,-0.0,0.0
0.753039,"[5.006339073181152, 4.5, 0.0]","[13.105181694030762, 4.5, 0.0]",0.00193823245381289,0.3200231194496155,-0.07901126517783624,8.092096805572439,0.3062423809896549,-0.0,0.0,-0.0,0.0
0.77213,"[5.006409645080566, 4.5, 0.0]","[13.111473083496094, 4.5, 0.0]",0.005334495101230151,0.3297015130519868,0.16981313237086304,8.09884262084961,0.31808488699580256,-0.0,0.0,-0.0,0.0
0.792635,"[5.006371021270752, 4.5, 0.0]","[13.1179780960083, 4.5, 0.0]",0.0019382323376413027,0.33970916271209717,-0.1698131381794424,8.105063438415527,0.3243670179507567,-0.0,0.0,-0.0,0.0
0.812749,"[5.0064778327941895, 4.5, 0.0]","[13.1249418258667, 4.5, 0.0]",0.0053344951012887715,0.34992289543151855,0.16981313818237342,8.111607074737549,0.3377709303744559,-0.0,0.0,-0.0,0.0
0.83289,"[5.006439208984375, 4.5, 0.0]","[13.132447242736816, 4.5, 0.0]",0.0019382323372084587,0.35992920398712164,-0.16981313820401564,8.118463993072437,0.3445884003302298,-0.0,0.0,-0.0,0.0
0.852471,"[5.0065460205078125, 4.5, 0.0]","[13.139866828918457, 4.5, 0.0]",0.005334495101124983,0.3698218762874603,0.16981313819582622,8.126008033752441,0.35799097164991317,-0.0,0.0,-0.0,0.0
0.873362,"[5.006507396697998, 4.5, 0.0]","[13.147371292114258, 4.5, 0.0]",0.001938232337164525,0.37982878088951116,-0.1698131381980229,8.133320808410645,0.36448738118633534,-0.0,0.0,-0.0,0.0
0.892883,"[5.0066142082214355, 4.5, 0.0]","[13.154751777648926, 4.5, 0.0]",0.005334495101197638,0.38966882228851324,0.1698131382016556,8.14086389541626,0.37789054855234666,-0.0,0.0,-0.0,0.0
0.912572,"[5.006575584411621, 4.5, 0.0]","[13.162684440612793, 4.5, 0.0]",0.0019382323374987115,0.3998251855373383,-0.1698131381849463,8.148137569427417,0.3843343271873156,-0.0,0.0,-0.0,0.0
0.934254,"[5.006682395935059, 4.5, 0.0]","[13.171292304992676, 4.5, 0.0]",0.005334495101366647,0.4099512994289399,0.16981313819339675,8.156108856201099,0.3978869531998396,-0.0,0.0,-0.0,0.0
0.952743,"[5.006643772125244, 4.5, 0.0]","[13.179594993591309, 4.5, 0.0]",0.001938232339067866,0.4197201430797577,-0.16981313811493903,8.164609909057617,0.40461680432757324,-0.0,0.0,-0.0,0.0
0.972435,"[5.006750583648682, 4.5, 0.0]","[13.188249588012695, 4.5, 0.0]",0.005263770000118418,0.429901272058487,0.1662768830525276,8.172951221465775,0.4177819107406898,-0.0,0.0,-0.0,0.0
0.993957,"[5.006711959838867, 4.5, 0.0]","[13.196785926818848, 4.5, 0.0]",0.002008957324649865,0.4399438202381134,-0.16274063377342765,8.18149900436336,0.4246375020583686,-0.0,0.0,-0.0,0.0
1.012624,"[5.00681734085083, 4.5, 0.0]","[13.2056245803833, 4.5, 0.0]",0.003642682685364371,0.4499552249908448,0.08168626803572529,8.190073966979908,0.43793486291346356,-0.0,0.0,-0.0,0.0
1.03256,"[5.006777286529541, 4.5, 0.0]","[13.21504020690918, 4.5, 0.0]",0.0036300446378556483,0.4598666429519654,-0.0006319023754361398,8.19880723953247,0.4463125423054804,-0.0,0.0,-0.0,0.0
1.052718,"[5.006850242614746, 4.5, 0.0]","[13.22460651397705, 4.5, 0.0]",0.0036426826846477425,0.4699362218379976,0.0006319023396047108,8.208262920378983,0.45623659831410973,-0.0,0.0,-0.0,0.0
1.072596,"[5.006777763366699, 4.5, 0.0]","[13.234042167663574, 4.5, 0.0]",0.0036300446372479213,0.47986903786659246,-0.0006319023699910596,8.21775627136165,0.46629353915334987,-0.0,0.0,-0.0,0.0
1.09278,"[5.006850719451904, 4.5, 0.0]","[13.243624687194824, 4.5, 0.0]",0.003642682684585481,0.49328893423080444,0.00063190236687799,8.227264404295708,0.47623899322934454,-0.0,0.0,-0.0,0.0
