time[s],position_ego[m],position_pre[m],speed_ego[m/s],speed_pre[m/s],acceleration_ego[m/s2],headway[m],deltav[m/s],engine_throttle,engine_brake,Controller_throttle,Controller_brake
0.018601,"[5.0, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.007272727321833372,0.15600000321865082,0.3636363660916686,,,0.0,-0.0,0.0,-0.0
0.049697,"[5.0, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.00421274034306407,0.15600000321865082,-0.15299934893846512,8.0,0.14872727589681745,0.0,-0.0,0.0,-0.0
0.069586,"[5.000145435333252, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.01148546766489749,0.15600000321865082,0.36363636609167105,8.0,0.15178726287558675,0.0,-0.0,0.0,-0.0
0.095845,"[5.000229835510254, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.018758194521076965,0.15600000321865082,0.3636363428089737,7.999854564666748,0.14451453555375332,0.0,-0.0,0.0,-0.0
0.10818,"[5.000459671020508, 4.5, 0.0]","[13.000572204589844, 4.5, 0.0]",0.026030922308614007,0.1568799465894699,0.3636363893768521,7.999770164489746,0.13724180869757385,0.0,-0.0,0.0,-0.0
0.128441,"[5.000834941864014, 4.5, 0.0]","[13.003954887390137, 4.5, 0.0]",0.03330364823346285,0.16208480298519135,0.3636362962424422,8.000112533569336,0.1308490242808559,0.0,-0.0,0.0,-0.0
0.149937,"[5.0013556480407715, 4.5, 0.0]","[13.007332801818848, 4.5, 0.0]",0.04057636857036524,0.16728082299232483,0.36363601684511954,8.003119945525839,0.1287811547517285,0.0,-0.0,0.0,-0.0
0.16866,"[5.002021789550781, 4.5, 0.0]","[13.010642051696777, 4.5, 0.0]",0.04148080945017343,0.1723722517490387,0.0452220439904092,8.005977153778005,0.1267044544219596,0.0,-0.0,0.0,-0.0
0.189811,"[5.002833366394043, 4.5, 0.0]","[13.0140380859375, 4.5, 0.0]",0.048753529787064036,0.1775970458984375,0.36363601684453045,8.008620262145712,0.13089144229886526,0.0,-0.0,0.0,-0.0
0.209208,"[5.003663063049316, 4.5, 0.0]","[13.017589569091797, 4.5, 0.0]",0.04148080945016562,0.18298545479774475,-0.36363601684492075,8.011204719543386,0.12884351611137346,0.0,-0.0,0.0,-0.0
0.229208,"[5.004638195037842, 4.5, 0.0]","[13.021492004394531, 4.5, 0.0]",0.048753529787091424,0.18855948746204376,0.36363601684629016,8.01392650604248,0.14150464534757912,0.0,-0.0,0.0,-0.0
0.249143,"[5.005467891693115, 4.5, 0.0]","[13.025410652160645, 4.5, 0.0]",0.041480809450165114,0.1941576451063156,-0.36363601684631547,8.01685380935669,0.13980595767495235,0.0,-0.0,0.0,-0.0
0.269183,"[5.006443023681641, 4.5, 0.0]","[13.029346466064453, 4.5, 0.0]",0.03420808911324225,0.19978012144565582,-0.36363601684614305,8.01994276046689,0.1526768356561505,0.0,-0.0,0.0,-0.0
0.289866,"[5.007272720336914, 4.5, 0.0]","[13.033292770385742, 4.5, 0.0]",0.026935363188390564,0.20541846752166748,-0.3636362962425844,8.022903442382812,0.16557203233241358,-0.0,0.0,-0.0,0.0
0.31608,"[5.0079569816589355, 4.5, 0.0]","[13.037320137023926, 4.5, 0.0]",0.019662635400897674,0.21109381318092346,-0.3636363893746445,8.026020050048187,0.1784831043332769,-0.0,0.0,-0.0,0.0
0.329143,"[5.008495807647705, 4.5, 0.0]","[13.041687965393066, 4.5, 0.0]",0.01238990761340503,0.21691705286502838,-0.36363638937463216,8.02936315536492,0.19143117778002577,-0.0,0.0,-0.0,0.0
0.349004,"[5.008889198303223, 4.5, 0.0]","[13.046199798583984, 4.5, 0.0]",0.005117179825913687,0.22293248772621155,-0.36363638937456716,8.03319215774529,0.20452714525162335,-0.0,0.0,-0.0,0.0
