time[s],position_ego[m],position_pre[m],speed_ego[m/s],speed_pre[m/s],acceleration_ego[m/s2],headway[m],deltav[m/s],engine_throttle,engine_brake,Controller_throttle,Controller_brake
0.017779,"[5.0, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.007272727321833372,0.0,0.3636363660916686,,,0.0,-0.0,0.0,-0.0
0.049287,"[5.0, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.00421274034306407,0.0,-0.15299934893846512,8.0,-0.007272727321833372,0.0,-0.0,0.0,-0.0
0.068744,"[5.000145435333252, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.01148546766489749,0.0,0.36363636609167105,8.0,-0.00421274034306407,0.0,-0.0,0.0,-0.0
0.08776,"[5.000229835510254, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.018758194521076965,0.0,0.3636363428089737,7.999854564666748,-0.01148546766489749,0.0,-0.0,0.0,-0.0
0.108296,"[5.000459671020508, 4.5, 0.0]","[13.000064849853516, 4.5, 0.0]",0.026030922308614007,0.001291541033424437,0.3636363893768521,7.999770164489746,-0.018758194521076965,0.0,-0.0,0.0,-0.0
0.127972,"[5.000834941864014, 4.5, 0.0]","[13.00056266784668, 4.5, 0.0]",0.03330364823346285,0.011257092468440533,0.3636362962424422,7.999605178833008,-0.02473938127518957,0.0,-0.0,0.0,-0.0
0.150628,"[5.0013556480407715, 4.5, 0.0]","[13.001063346862793, 4.5, 0.0]",0.04057636857036524,0.021266348659992218,0.36363601684511954,7.999727725982383,-0.02204655576502232,0.0,-0.0,0.0,-0.0
0.167119,"[5.002021789550781, 4.5, 0.0]","[13.00155258178711, 4.5, 0.0]",0.04148080945017343,0.031051071360707283,0.0452220439904092,7.99970769882195,-0.019310019910373025,0.0,-0.0,0.0,-0.0
0.187708,"[5.002833366394043, 4.5, 0.0]","[13.002057075500488, 4.5, 0.0]",0.048753529787064036,0.04115017130970955,0.36363601684453045,7.999530792236045,-0.010429738089466144,0.0,-0.0,0.0,-0.0
0.208323,"[5.003663063049316, 4.5, 0.0]","[13.00269603729248, 4.5, 0.0]",0.04148080945016562,0.05130772292613983,-0.36363601684492075,7.999223709106374,-0.007603358477354487,0.0,-0.0,0.0,-0.0
0.229708,"[5.004638195037842, 4.5, 0.0]","[13.004218101501465, 4.5, 0.0]",0.048753529787091424,0.06145354360342026,0.36363601684629016,7.999032974243164,0.009826913475974211,0.0,-0.0,0.0,-0.0
0.24828,"[5.005467891693115, 4.5, 0.0]","[13.005695343017578, 4.5, 0.0]",0.041480809450165114,0.0712994933128357,-0.36363601684631547,7.999579906463623,0.012700013816328834,0.0,-0.0,0.0,-0.0
0.268218,"[5.006443023681641, 4.5, 0.0]","[13.007194519042969, 4.5, 0.0]",0.03420808911324225,0.08129923790693283,-0.36363601684614305,8.000227451323823,0.02981868386267058,0.0,-0.0,0.0,-0.0
0.288894,"[5.007272720336914, 4.5, 0.0]","[13.008678436279297, 4.5, 0.0]",0.026935363188390564,0.09118644148111343,-0.3636362962425844,8.000751495361328,0.04709114879369058,0.0,-0.0,0.0,-0.0
0.309172,"[5.0079569816589355, 4.5, 0.0]","[13.010259628295898, 4.5, 0.0]",0.019662635400897674,0.10103704035282135,-0.3636363893746445,8.001405715941743,0.06425107829272286,0.0,-0.0,0.0,-0.0
0.327408,"[5.008495807647705, 4.5, 0.0]","[13.01276969909668, 4.5, 0.0]",0.01238990761340503,0.11107750982046127,-0.36363638937463216,8.002302646636892,0.08137440495192368,0.0,-0.0,0.0,-0.0
0.348002,"[5.008889198303223, 4.5, 0.0]","[13.015281677246094, 4.5, 0.0]",0.005117179825913687,0.12112655490636826,-0.36363638937456716,8.004273891448904,0.09868760220705625,0.0,-0.0,0.0,-0.0
0.369397,"[5.009137153625488, 4.5, 0.0]","[13.017827987670898, 4.5, 0.0]",0.0021555474960647564,0.13131268322467804,-0.14808161649244653,8.006392478942871,0.11600937508045457,-0.0,0.0,-0.0,0.0
0.388925,"[5.009239673614502, 4.5, 0.0]","[13.020297050476074, 4.5, 0.0]",0.00942827481778347,0.14118917286396027,0.3636363660859357,8.008690834045339,0.1291571357286133,-0.0,0.0,-0.0,0.0
0.407983,"[5.009196758270264, 4.5, 0.0]","[13.022891998291016, 4.5, 0.0]",0.016701001673937087,0.15111975371837616,0.3636363428076808,8.011057376861288,0.1317608980461768,-0.0,0.0,-0.0,0.0
0.427598,"[5.009008407592773, 4.5, 0.0]","[13.026387214660645, 4.5, 0.0]",0.02226289361716397,0.16110540926456451,0.2780945971613442,8.013695240020752,0.13441875204443907,-0.0,0.0,-0.0,0.0
0.452234,"[5.008674621582031, 4.5, 0.0]","[13.029924392700195, 4.5, 0.0]",0.014990165829664025,0.16454504430294037,-0.3636363893749973,8.017378807067871,0.13884251564740055,-0.0,0.0,-0.0,0.0
0.469491,"[5.0082292556762695, 4.5, 0.0]","[13.033390998840332, 4.5, 0.0]",0.019523797556758874,0.18111677467823029,0.22668158635474248,8.021249771118164,0.14955487847327634,-0.0,0.0,-0.0,0.0
0.488724,"[5.00792932510376, 4.5, 0.0]","[13.036911964416504, 4.5, 0.0]",0.01225106976926386,0.18451137840747833,-0.3636363893747507,8.025161743163991,0.16159297712147142,-0.0,0.0,-0.0,0.0
0.508538,"[5.007538795471191, 4.5, 0.0]","[13.040523529052734, 4.5, 0.0]",0.013142740353967083,0.20116320252418518,0.04458352923516111,8.028982639312744,0.17226030863821448,-0.0,0.0,-0.0,0.0
0.528417,"[5.007293701171875, 4.5, 0.0]","[13.04504108428955, 4.5, 0.0]",0.0058700125664687885,0.20453538000583651,-0.3636363893749147,8.032984733581259,0.1880204621702181,-0.0,0.0,-0.0,0.0
0.549314,"[5.007030963897705, 4.5, 0.0]","[13.049566268920898, 4.5, 0.0]",0.013062203302979471,0.2212580442428589,0.3596095368255341,8.037747383117392,0.19866536743936772,-0.0,0.0,-0.0,0.0
0.567445,"[5.006913661956787, 4.5, 0.0]","[13.053980827331543, 4.5, 0.0]",0.005789475515491942,0.2244010865688324,-0.3636363893743764,8.042535305023193,0.20819584093987942,-0.0,0.0,-0.0,0.0
0.590424,"[5.006652355194092, 4.5, 0.0]","[13.058524131774902, 4.5, 0.0]",0.0027528984938136407,0.2411649376153946,-0.15182885108391506,8.047067165374756,0.21861161105334045,-0.0,0.0,-0.0,0.0
0.608742,"[5.006536483764648, 4.5, 0.0]","[13.063227653503418, 4.5, 0.0]",0.004494024440667869,0.24465680122375488,0.08705629734271139,8.05187177658081,0.23841203912158096,-0.0,0.0,-0.0,0.0
0.628109,"[5.006481647491455, 4.5, 0.0]","[13.068592071533203, 4.5, 0.0]",0.002778702881224909,0.2610762417316437,-0.08576607797214797,8.056691169738698,0.240162776783087,-0.0,0.0,-0.0,0.0
0.648529,"[5.006392002105713, 4.5, 0.0]","[13.074254989624023, 4.5, 0.0]",0.00449402444064949,0.2680400311946869,0.08576607797122905,8.062110424041105,0.2582975388504188,-0.0,0.0,-0.0,0.0
0.667985,"[5.006447792053223, 4.5, 0.0]","[13.079605102539062, 4.5, 0.0]",0.002778702881278649,0.2777664363384247,-0.08576607796854205,8.067862987516524,0.2635460067540374,-0.0,0.0,-0.0,0.0
0.688889,"[5.0063581466674805, 4.5, 0.0]","[13.085125923156738, 4.5, 0.0]",0.0037542695645549993,0.28780534863471985,0.04877833416381751,8.073157310485769,0.27498773345714606,-0.0,0.0,-0.0,0.0
