time[s],position_ego[m],position_pre[m],speed_ego[m/s],speed_pre[m/s],acceleration_ego[m/s2],headway[m],deltav[m/s],engine_throttle,engine_brake,Controller_throttle,Controller_brake
0.036794,"[5.0, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.007272727321833372,0.0,0.3636363660916686,,,0.0,-0.0,0.0,-0.0
0.076625,"[5.0, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.00421274034306407,0.0,-0.15299934893846512,8.0,-0.007272727321833372,0.0,-0.0,0.0,-0.0
0.096122,"[5.000145435333252, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.01148546766489749,0.0,0.36363636609167105,8.0,-0.00421274034306407,0.0,-0.0,0.0,-0.0
0.119227,"[5.000229835510254, 4.5, 0.0]","[13.000036239624023, 4.5, 0.0]",0.018758194521076965,0.0007162734982557595,0.3636363428089737,7.999854564666748,-0.01148546766489749,0.0,-0.0,0.0,-0.0
0.137828,"[5.000459671020508, 4.5, 0.0]","[13.000533103942871, 4.5, 0.0]",0.026030922308614007,0.010653877630829811,0.3636363893768521,7.9998064041137695,-0.018041921022821206,0.0,-0.0,0.0,-0.0
0.155165,"[5.000834941864014, 4.5, 0.0]","[13.001033782958984, 4.5, 0.0]",0.03330364823346285,0.020679740235209465,0.3636362962424422,8.000073432922363,-0.015377044677784196,0.0,-0.0,0.0,-0.0
0.178571,"[5.0013556480407715, 4.5, 0.0]","[13.001535415649414, 4.5, 0.0]",0.04057636857036524,0.030715035274624825,0.36363601684511954,8.000198841094686,-0.012623907998253386,0.0,-0.0,0.0,-0.0
0.186581,"[5.002021789550781, 4.5, 0.0]","[13.002033233642578, 4.5, 0.0]",0.04148080945017343,0.04066802188754082,0.0452220439904092,8.000179767608572,-0.009861333295740418,0.0,-0.0,0.0,-0.0
0.207154,"[5.002833366394043, 4.5, 0.0]","[13.002610206604004, 4.5, 0.0]",0.048753529787064036,0.05073748901486397,0.36363601684453045,8.000011444091513,-0.0008127875626326095,0.0,-0.0,0.0,-0.0
0.227174,"[5.003663063049316, 4.5, 0.0]","[13.004111289978027, 4.5, 0.0]",0.04148080945016562,0.060740578919649124,-0.36363601684492075,7.99977684020989,0.001983959227799932,0.0,-0.0,0.0,-0.0
0.246908,"[5.004638195037842, 4.5, 0.0]","[13.00560188293457, 4.5, 0.0]",0.048753529787091424,0.07067990303039551,0.36363601684629016,8.000448226928711,0.019259769469483504,0.0,-0.0,0.0,-0.0
0.267111,"[5.005467891693115, 4.5, 0.0]","[13.00710391998291, 4.5, 0.0]",0.041480809450165114,0.08069242537021637,-0.36363601684631547,8.000963687896729,0.021926373243304084,0.0,-0.0,0.0,-0.0
0.28986,"[5.006443023681641, 4.5, 0.0]","[13.008634567260742, 4.5, 0.0]",0.03420808911324225,0.09089910984039307,-0.36363601684614305,8.001636028289155,0.039211615920051256,0.0,-0.0,0.0,-0.0
0.307266,"[5.007272720336914, 4.5, 0.0]","[13.010186195373535, 4.5, 0.0]",0.026935363188390564,0.10074339061975479,-0.3636362962425844,8.002191543579102,0.056691020727150813,0.0,-0.0,0.0,-0.0
0.326907,"[5.0079569816589355, 4.5, 0.0]","[13.012678146362305, 4.5, 0.0]",0.019662635400897674,0.11071386188268661,-0.3636363893746445,8.002913475035982,0.07380802743136422,0.0,-0.0,0.0,-0.0
0.347928,"[5.008495807647705, 4.5, 0.0]","[13.015186309814453, 4.5, 0.0]",0.01238990761340503,0.12074654549360275,-0.36363638937463216,8.004721164703298,0.09105122648178894,0.0,-0.0,0.0,-0.0
0.367302,"[5.008889198303223, 4.5, 0.0]","[13.017679214477539, 4.5, 0.0]",0.005117179825913687,0.13071611523628235,-0.36363638937456716,8.006690502166677,0.10835663788019773,0.0,-0.0,0.0,-0.0
0.386798,"[5.009137153625488, 4.5, 0.0]","[13.020173072814941, 4.5, 0.0]",0.0021555474960647564,0.14069165289402008,-0.14808161649244653,8.008790016174316,0.12559893541036865,0.0,-0.0,0.0,-0.0
0.407765,"[5.009239673614502, 4.5, 0.0]","[13.022830963134766, 4.5, 0.0]",0.00942827481778347,0.15094691514968872,0.3636363660859357,8.011035919189382,0.13853610539795533,0.0,-0.0,0.0,-0.0
0.428282,"[5.009196758270264, 4.5, 0.0]","[13.026297569274902, 4.5, 0.0]",0.016701001673937087,0.1608499437570572,0.3636363428076808,8.01359128951998,0.14151864033190525,-0.0,0.0,-0.0,0.0
