time[s],position_ego[m],position_pre[m],speed_ego[m/s],speed_pre[m/s],acceleration_ego[m/s2],headway[m],deltav[m/s],engine_throttle,engine_brake,Controller_throttle,Controller_brake
0.042104,"[5.0, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.007272727321833372,0.0,0.3636363660916686,,,0.0,-0.0,0.0,-0.0
0.084051,"[5.0, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.00421274034306407,0.0,-0.15299934893846512,8.0,-0.007272727321833372,0.0,-0.0,0.0,-0.0
0.10251,"[5.000145435333252, 4.5, 0.0]","[13.0, 4.5, 0.0]",0.01148546766489749,0.0,0.36363636609167105,8.0,-0.00421274034306407,0.0,-0.0,0.0,-0.0
0.128889,"[5.000229835510254, 4.5, 0.0]","[13.000164031982422, 4.5, 0.0]",0.018758194521076965,0.003278095042333007,0.3636363428089737,7.999854564666748,-0.01148546766489749,0.0,-0.0,0.0,-0.0
0.135397,"[5.000459671020508, 4.5, 0.0]","[13.000736236572266, 4.5, 0.0]",0.026030922308614007,0.014716843143105507,0.3636363893768521,7.999934196472168,-0.015480099478743958,0.0,-0.0,0.0,-0.0
0.152813,"[5.000834941864014, 4.5, 0.0]","[13.001172065734863, 4.5, 0.0]",0.03330364823346285,0.023441381752490997,0.3636362962424422,8.000276565551758,-0.0113140791655085,0.0,-0.0,0.0,-0.0
0.175384,"[5.0013556480407715, 4.5, 0.0]","[13.001663208007812, 4.5, 0.0]",0.04057636857036524,0.03326614946126938,0.36363601684511954,8.000337123870565,-0.009862266480971854,0.0,-0.0,0.0,-0.0
0.1916,"[5.002021789550781, 4.5, 0.0]","[13.002161026000977, 4.5, 0.0]",0.04148080945017343,0.043215252459049225,0.0452220439904092,8.00030755996697,-0.007310219109095864,0.0,-0.0,0.0,-0.0
0.212573,"[5.002833366394043, 4.5, 0.0]","[13.003022193908691, 4.5, 0.0]",0.048753529787064036,0.053480230271816254,0.36363601684453045,8.000139236449911,0.0017344430088757981,0.0,-0.0,0.0,-0.0
0.232818,"[5.003663063049316, 4.5, 0.0]","[13.004521369934082, 4.5, 0.0]",0.04148080945016562,0.0634741261601448,-0.36363601684492075,8.000188827514577,0.004726700484752218,0.0,-0.0,0.0,-0.0
0.252652,"[5.004638195037842, 4.5, 0.0]","[13.00601577758789, 4.5, 0.0]",0.048753529787091424,0.07344065606594086,0.36363601684629016,8.000858306884766,0.021993316709979185,0.0,-0.0,0.0,-0.0
0.272509,"[5.005467891693115, 4.5, 0.0]","[13.007516860961914, 4.5, 0.0]",0.041480809450165114,0.08344536274671555,-0.36363601684631547,8.001377582550049,0.024687126278849433,0.0,-0.0,0.0,-0.0
0.292277,"[5.006443023681641, 4.5, 0.0]","[13.00901985168457, 4.5, 0.0]",0.03420808911324225,0.09346647560596466,-0.36363601684614305,8.00204896926816,0.04196455329655043,0.0,-0.0,0.0,-0.0
0.313679,"[5.007272720336914, 4.5, 0.0]","[13.01082706451416, 4.5, 0.0]",0.026935363188390564,0.10330749303102493,-0.3636362962425844,8.00257682800293,0.05925838649272241,0.0,-0.0,0.0,-0.0
0.332811,"[5.0079569816589355, 4.5, 0.0]","[13.013322830200195, 4.5, 0.0]",0.019662635400897674,0.11329065263271332,-0.3636363893746445,8.003554344176607,0.07637212984263436,0.0,-0.0,0.0,-0.0
0.3521,"[5.008495807647705, 4.5, 0.0]","[13.015814781188965, 4.5, 0.0]",0.01238990761340503,0.12325970083475113,-0.36363638937463216,8.005365848541189,0.09362801723181564,0.0,-0.0,0.0,-0.0
0.372952,"[5.008889198303223, 4.5, 0.0]","[13.018388748168945, 4.5, 0.0]",0.005117179825913687,0.13355448842048645,-0.36363638937456716,8.007318973541189,0.1108697932213461,-0.0,0.0,-0.0,0.0
0.39339,"[5.009137153625488, 4.5, 0.0]","[13.020888328552246, 4.5, 0.0]",0.0021555474960647564,0.14355264604091644,-0.14808161649244653,8.009499549865723,0.12843730859457275,-0.0,0.0,-0.0,0.0
0.412863,"[5.009239673614502, 4.5, 0.0]","[13.023676872253418, 4.5, 0.0]",0.00942827481778347,0.15336178243160248,0.3636363660859357,8.011751174926687,0.1413970985448517,-0.0,0.0,-0.0,0.0
0.432494,"[5.009196758270264, 4.5, 0.0]","[13.027161598205566, 4.5, 0.0]",0.016701001673937087,0.16331899166107178,0.3636363428076808,8.014437198638632,0.143933507613819,-0.0,0.0,-0.0,0.0
0.453224,"[5.009008407592773, 4.5, 0.0]","[13.030648231506348, 4.5, 0.0]",0.02226289361716397,0.17327989637851715,0.2780945971613442,8.017964839935303,0.14661798998713468,-0.0,0.0,-0.0,0.0
0.477434,"[5.008674621582031, 4.5, 0.0]","[13.034173011779785, 4.5, 0.0]",0.014990165829664025,0.17668358981609344,-0.3636363893749973,8.021639823913574,0.1510170027613532,-0.0,0.0,-0.0,0.0
0.493616,"[5.0082292556762695, 4.5, 0.0]","[13.037657737731934, 4.5, 0.0]",0.019523797556758874,0.19330757856369019,0.22668158635474248,8.025498390197754,0.1616934239864294,-0.0,0.0,-0.0,0.0
0.513607,"[5.00792932510376, 4.5, 0.0]","[13.041608810424805, 4.5, 0.0]",0.01225106976926386,0.19690795242786407,-0.3636363893747507,8.029428482055593,0.17378378100693131,-0.0,0.0,-0.0,0.0
0.534132,"[5.007538795471191, 4.5, 0.0]","[13.046092987060547, 4.5, 0.0]",0.013142740353967083,0.21353988349437714,0.04458352923516111,8.033679485321045,0.18465688265860022,-0.0,0.0,-0.0,0.0
